factor,roa,dealer_net_buy,eps_growth,revenue_yoy,trust_net_buy,momentum_20d,rsi_14,roe,macd_signal,foreign_net_buy,volume_ratio
roa,1.0,-0.037,0.817,0.501,0.007,0.174,0.231,-0.133,-0.029,0.063,-0.015
dealer_net_buy,-0.037,1.0,-0.068,-0.055,0.089,0.023,0.059,-0.055,0.046,0.145,0.141
eps_growth,0.817,-0.068,1.0,0.558,-0.021,0.153,0.19,0.114,-0.023,-0.02,-0.02
revenue_yoy,0.501,-0.055,0.558,1.0,-0.062,0.089,0.116,0.01,0.03,-0.003,0.008
trust_net_buy,0.007,0.089,-0.021,-0.062,1.0,0.242,0.272,0.009,0.216,0.008,0.104
momentum_20d,0.174,0.023,0.153,0.089,0.242,1.0,0.861,-0.01,0.536,0.358,0.048
rsi_14,0.231,0.059,0.19,0.116,0.272,0.861,1.0,-0.015,0.572,0.437,0.082
roe,-0.133,-0.055,0.114,0.01,0.009,-0.01,-0.015,1.0,-0.004,-0.108,0.031
macd_signal,-0.029,0.046,-0.023,0.03,0.216,0.536,0.572,-0.004,1.0,0.305,0.126
foreign_net_buy,0.063,0.145,-0.02,-0.003,0.008,0.358,0.437,-0.108,0.305,1.0,0.087
volume_ratio,-0.015,0.141,-0.02,0.008,0.104,0.048,0.082,0.031,0.126,0.087,1.0
