layer,factor,status,signal_execution_policy,common_start,common_end,cagr_pct,mdd_pct,sharpe,win_rate_pct,profit_loss_ratio,sample_count,avg_daily_turnover_pct,avg_annual_turnover_x,gross_total_return_pct,net_after_cost_cagr_pct,net_after_cost_sharpe,one_way_cost_bps,blocked_reason
Existing selected-universe result,dealer_net_buy,corrected,factor_available_at_shifted_to_next_exchange_session_close,2022-02-15,2026-06-17,3.0192,-34.2475,0.1844,48.9,1.0922,914,64.3714,159.641,11.586,-60.5556,-2.7529,30.0,
Existing selected-universe result,eps_growth,corrected,factor_available_at_shifted_to_next_exchange_session_close,2022-02-15,2026-06-17,16.9853,-39.5327,0.7326,52.7,1.0112,914,0.3647,0.9044,78.2775,16.3541,0.7086,30.0,
Existing selected-universe result,foreign_net_buy,corrected,factor_available_at_shifted_to_next_exchange_session_close,2022-02-15,2026-06-17,0.7628,-34.432,0.0748,49.1,1.0614,914,61.6224,152.8237,2.84,-59.7984,-2.8204,30.0,
Existing selected-universe result,macd_signal,corrected,factor_available_at_shifted_to_next_exchange_session_close,2022-02-15,2026-06-17,21.9792,-24.4516,1.0168,52.5,1.0725,914,18.089,44.8607,107.9721,-6.8201,-0.2396,30.0,
Existing selected-universe result,momentum_20d,corrected,factor_available_at_shifted_to_next_exchange_session_close,2022-02-15,2026-06-17,48.097,-29.2154,1.783,53.4,1.1241,914,17.9887,44.612,325.1532,13.3243,0.5686,30.0,
Existing selected-universe result,revenue_yoy,corrected,factor_available_at_shifted_to_next_exchange_session_close,2022-02-15,2026-06-17,20.3086,-32.5595,0.9297,53.5,1.013,914,1.4269,3.5387,97.6661,17.7786,0.8212,30.0,
Existing selected-universe result,roa,corrected,factor_available_at_shifted_to_next_exchange_session_close,2022-02-15,2026-06-17,16.011,-41.8907,0.6449,52.3,1.0175,914,0.5106,1.2662,72.8664,15.1302,0.6159,30.0,
Existing selected-universe result,roe,corrected,factor_available_at_shifted_to_next_exchange_session_close,2022-02-15,2026-06-17,-21.7315,-62.1281,-1.1797,47.4,0.8996,914,0.9209,2.2837,-59.4662,-22.8011,-1.2367,30.0,
Existing selected-universe result,rsi_14,corrected,factor_available_at_shifted_to_next_exchange_session_close,2022-02-15,2026-06-17,32.0215,-26.2324,1.3115,51.8,1.142,914,21.3667,52.9894,178.3774,-3.9557,-0.0672,30.0,
Existing selected-universe result,trust_net_buy,corrected,factor_available_at_shifted_to_next_exchange_session_close,2022-02-15,2026-06-17,-0.193,-35.7108,0.0423,49.0,1.0602,914,48.0853,119.2516,-0.7095,-51.2646,-2.2412,30.0,
Existing selected-universe result,volume_ratio,corrected,factor_available_at_shifted_to_next_exchange_session_close,2022-02-15,2026-06-17,-5.7247,-38.8691,-0.1956,48.9,1.0196,914,54.9462,136.2666,-19.5282,-58.4465,-2.5122,30.0,
Bias-controlled result,ALL,blocked,,,,,,,,,,,,,,,30.0,"Blocked: the repository does not contain a complete historical Taiwan equity universe with delisted, merged, renamed, and suspended securities plus point-in-time liquidity eligibility. No formal bias-controlled performance is produced."
