layer,factor,status,signal_execution_policy,T,L_nw,mean_ic,std_ic,icir,t_nw,p_nw,pct_positive,ic_p05,ic_p25,ic_p50,ic_p75,ic_p95,p_holm,sig_nw_05,sig_holm_05
Existing selected-universe result,dealer_net_buy,corrected,factor_available_at_shifted_to_next_exchange_session_close,1314,7,0.002837,0.284689,0.01,0.3467,0.728839,49.2,-0.4687,-0.1912,-0.0029,0.1938,0.4674,1.0,False,False
Existing selected-universe result,eps_growth,corrected,factor_available_at_shifted_to_next_exchange_session_close,915,6,0.029105,0.375672,0.0775,2.2831,0.022655,53.1,-0.6035,-0.2541,0.0294,0.3118,0.6301,0.2102,True,False
Existing selected-universe result,foreign_net_buy,corrected,factor_available_at_shifted_to_next_exchange_session_close,1314,7,-0.011803,0.288167,-0.041,-1.4737,0.140815,47.8,-0.5022,-0.2119,-0.0147,0.1942,0.4765,0.84489,False,False
Existing selected-universe result,macd_signal,corrected,factor_available_at_shifted_to_next_exchange_session_close,1281,7,0.012066,0.308541,0.0391,1.4357,0.151328,51.0,-0.5,-0.2001,0.0088,0.2382,0.5136,0.84489,False,False
Existing selected-universe result,momentum_20d,corrected,factor_available_at_shifted_to_next_exchange_session_close,1298,7,0.019488,0.349355,0.0558,2.0234,0.043239,52.2,-0.5563,-0.2382,0.0199,0.2773,0.6029,0.345912,True,False
Existing selected-universe result,revenue_yoy,corrected,factor_available_at_shifted_to_next_exchange_session_close,1070,6,0.023206,0.324164,0.0716,2.311,0.02102,53.1,-0.515,-0.2088,0.0397,0.2615,0.5575,0.2102,True,False
Existing selected-universe result,roa,corrected,factor_available_at_shifted_to_next_exchange_session_close,915,6,0.035995,0.393513,0.0915,2.6608,0.007932,54.0,-0.6029,-0.2692,0.044,0.3409,0.6538,0.087252,True,False
Existing selected-universe result,roe,corrected,factor_available_at_shifted_to_next_exchange_session_close,915,6,0.002667,0.278554,0.0096,0.285,0.775689,49.7,-0.4579,-0.1924,0.0,0.1978,0.4632,1.0,False,False
Existing selected-universe result,rsi_14,corrected,factor_available_at_shifted_to_next_exchange_session_close,1304,7,0.017365,0.335568,0.0517,1.8268,0.067965,52.0,-0.5412,-0.227,0.025,0.2608,0.5599,0.475755,False,False
Existing selected-universe result,trust_net_buy,corrected,factor_available_at_shifted_to_next_exchange_session_close,1314,7,-0.003919,0.285617,-0.0137,-0.5279,0.597671,50.1,-0.47,-0.2123,0.0022,0.1972,0.4683,1.0,False,False
Existing selected-universe result,volume_ratio,corrected,factor_available_at_shifted_to_next_exchange_session_close,1308,7,-0.008278,0.298333,-0.0277,-0.9966,0.319157,48.9,-0.4809,-0.2118,-0.0029,0.2029,0.4853,1.0,False,False
