security_id,ticker,listed_at,delisted_at,eligible_from,eligible_to,market,liquidity_rule,selection_reason,source,as_of_date
2330,2330.TW,,,2021-01-01,2026-06-19,TWSE suffix assumption (.TW),No historical ex-ante liquidity rule encoded,Existing hardcoded V1 selected survivor list,modules.universe_pit.V1_TICKERS,2026-06-19
2317,2317.TW,,,2021-01-01,2026-06-19,TWSE suffix assumption (.TW),No historical ex-ante liquidity rule encoded,Existing hardcoded V1 selected survivor list,modules.universe_pit.V1_TICKERS,2026-06-19
2454,2454.TW,,,2021-01-01,2026-06-19,TWSE suffix assumption (.TW),No historical ex-ante liquidity rule encoded,Existing hardcoded V1 selected survivor list,modules.universe_pit.V1_TICKERS,2026-06-19
2308,2308.TW,,,2021-01-01,2026-06-19,TWSE suffix assumption (.TW),No historical ex-ante liquidity rule encoded,Existing hardcoded V1 selected survivor list,modules.universe_pit.V1_TICKERS,2026-06-19
2382,2382.TW,,,2021-01-01,2026-06-19,TWSE suffix assumption (.TW),No historical ex-ante liquidity rule encoded,Existing hardcoded V1 selected survivor list,modules.universe_pit.V1_TICKERS,2026-06-19
2303,2303.TW,,,2021-01-01,2026-06-19,TWSE suffix assumption (.TW),No historical ex-ante liquidity rule encoded,Existing hardcoded V1 selected survivor list,modules.universe_pit.V1_TICKERS,2026-06-19
2412,2412.TW,,,2021-01-01,2026-06-19,TWSE suffix assumption (.TW),No historical ex-ante liquidity rule encoded,Existing hardcoded V1 selected survivor list,modules.universe_pit.V1_TICKERS,2026-06-19
2881,2881.TW,,,2021-01-01,2026-06-19,TWSE suffix assumption (.TW),No historical ex-ante liquidity rule encoded,Existing hardcoded V1 selected survivor list,modules.universe_pit.V1_TICKERS,2026-06-19
2882,2882.TW,,,2021-01-01,2026-06-19,TWSE suffix assumption (.TW),No historical ex-ante liquidity rule encoded,Existing hardcoded V1 selected survivor list,modules.universe_pit.V1_TICKERS,2026-06-19
2886,2886.TW,,,2021-01-01,2026-06-19,TWSE suffix assumption (.TW),No historical ex-ante liquidity rule encoded,Existing hardcoded V1 selected survivor list,modules.universe_pit.V1_TICKERS,2026-06-19
1301,1301.TW,,,2021-01-01,2026-06-19,TWSE suffix assumption (.TW),No historical ex-ante liquidity rule encoded,Existing hardcoded V1 selected survivor list,modules.universe_pit.V1_TICKERS,2026-06-19
1303,1303.TW,,,2021-01-01,2026-06-19,TWSE suffix assumption (.TW),No historical ex-ante liquidity rule encoded,Existing hardcoded V1 selected survivor list,modules.universe_pit.V1_TICKERS,2026-06-19
2002,2002.TW,,,2021-01-01,2026-06-19,TWSE suffix assumption (.TW),No historical ex-ante liquidity rule encoded,Existing hardcoded V1 selected survivor list,modules.universe_pit.V1_TICKERS,2026-06-19
2912,2912.TW,,,2021-01-01,2026-06-19,TWSE suffix assumption (.TW),No historical ex-ante liquidity rule encoded,Existing hardcoded V1 selected survivor list,modules.universe_pit.V1_TICKERS,2026-06-19
2207,2207.TW,,,2021-01-01,2026-06-19,TWSE suffix assumption (.TW),No historical ex-ante liquidity rule encoded,Existing hardcoded V1 selected survivor list,modules.universe_pit.V1_TICKERS,2026-06-19
6505,6505.TW,,,2021-01-01,2026-06-19,TWSE suffix assumption (.TW),No historical ex-ante liquidity rule encoded,Existing hardcoded V1 selected survivor list,modules.universe_pit.V1_TICKERS,2026-06-19
